year,month,month_num,epi_week,region,district,cases,deaths
2016,January,1,1,Punjab,Lahore,6,0
2016,January,1,2,Punjab,Lahore,6,0
2016,January,1,3,Punjab,Lahore,6,0
2016,January,1,4,Punjab,Lahore,6,0
2016,January,1,1,Punjab,Faisalabad,4,0
2016,January,1,2,Punjab,Faisalabad,5,0
2016,January,1,3,Punjab,Faisalabad,5,0
2016,January,1,4,Punjab,Faisalabad,4,0
2016,January,1,1,Punjab,Rawalpindi,3,0
2016,January,1,2,Punjab,Rawalpindi,4,0
2016,January,1,3,Punjab,Rawalpindi,4,0
2016,January,1,4,Punjab,Rawalpindi,3,0
2016,January,1,1,Punjab,Gujranwala,3,0
2016,January,1,2,Punjab,Gujranwala,4,0
2016,January,1,3,Punjab,Gujranwala,4,0
2016,January,1,4,Punjab,Gujranwala,3,0
2016,January,1,1,Punjab,Multan,3,0
2016,January,1,2,Punjab,Multan,4,0
2016,January,1,3,Punjab,Multan,3,0
2016,January,1,4,Punjab,Multan,3,0
2016,January,1,1,Punjab,Sheikhupura,3,0
2016,January,1,2,Punjab,Sheikhupura,3,0
2016,January,1,3,Punjab,Sheikhupura,3,0
2016,January,1,4,Punjab,Sheikhupura,2,0
2016,January,1,1,Punjab,Kasur,3,0
2016,January,1,2,Punjab,Kasur,3,0
2016,January,1,3,Punjab,Kasur,3,0
2016,January,1,4,Punjab,Kasur,2,0
2016,January,1,1,Punjab,Sialkot,3,0
2016,January,1,2,Punjab,Sialkot,3,0
2016,January,1,3,Punjab,Sialkot,3,0
2016,January,1,4,Punjab,Sialkot,2,0
2016,January,1,1,Punjab,Sargodha,2,0
2016,January,1,2,Punjab,Sargodha,3,0
2016,January,1,3,Punjab,Sargodha,3,0
2016,January,1,4,Punjab,Sargodha,2,0
2016,January,1,1,Punjab,Bahawalpur,2,0
2016,January,1,2,Punjab,Bahawalpur,3,0
2016,January,1,3,Punjab,Bahawalpur,2,0
2016,January,1,4,Punjab,Bahawalpur,2,0
2016,January,1,1,Punjab,Jhang,2,0
2016,January,1,2,Punjab,Jhang,3,0
2016,January,1,3,Punjab,Jhang,3,0
2016,January,1,4,Punjab,Jhang,2,0
2016,January,1,1,Punjab,Gujrat,2,0
2016,January,1,2,Punjab,Gujrat,2,0
2016,January,1,3,Punjab,Gujrat,2,0
2016,January,1,4,Punjab,Gujrat,2,0
2016,January,1,1,Punjab,Rahim Yar Khan,2,0
2016,January,1,2,Punjab,Rahim Yar Khan,4,1
2016,January,1,3,Punjab,Rahim Yar Khan,3,0
2016,January,1,4,Punjab,Rahim Yar Khan,2,0
2016,January,1,1,Punjab,Sahiwal,2,0
2016,January,1,2,Punjab,Sahiwal,2,0
2016,January,1,3,Punjab,Sahiwal,2,0
2016,January,1,4,Punjab,Sahiwal,1,0
2016,January,1,1,Punjab,Okara,2,0
2016,January,1,2,Punjab,Okara,2,0
2016,January,1,3,Punjab,Okara,2,0
2016,January,1,4,Punjab,Okara,2,0
2016,January,1,1,Punjab,Narowal,2,0
2016,January,1,2,Punjab,Narowal,2,0
2016,January,1,3,Punjab,Narowal,2,0
2016,January,1,4,Punjab,Narowal,1,0
2016,January,1,1,Punjab,Hafizabad,2,0
2016,January,1,2,Punjab,Hafizabad,2,0
2016,January,1,3,Punjab,Hafizabad,2,0
2016,January,1,4,Punjab,Hafizabad,1,0
2016,January,1,1,Punjab,Mandi Bahauddin,1,0
2016,January,1,2,Punjab,Mandi Bahauddin,2,0
2016,January,1,3,Punjab,Mandi Bahauddin,2,0
2016,January,1,4,Punjab,Mandi Bahauddin,1,0
2016,January,1,1,Punjab,Pakpattan,1,0
2016,January,1,2,Punjab,Pakpattan,2,0
2016,January,1,3,Punjab,Pakpattan,2,0
2016,January,1,4,Punjab,Pakpattan,1,0
2016,January,1,1,Punjab,Chiniot,2,0
2016,January,1,2,Punjab,Chiniot,2,0
2016,January,1,3,Punjab,Chiniot,2,0
2016,January,1,4,Punjab,Chiniot,1,0
2016,January,1,1,Punjab,Khushab,1,0
2016,January,1,2,Punjab,Khushab,2,0
2016,January,1,3,Punjab,Khushab,1,0
2016,January,1,4,Punjab,Khushab,1,0
2016,January,1,1,Punjab,Bhakkar,1,0
2016,January,1,2,Punjab,Bhakkar,2,0
2016,January,1,3,Punjab,Bhakkar,1,0
2016,January,1,4,Punjab,Bhakkar,1,0
2016,January,1,1,Punjab,Layyah,1,0
2016,January,1,2,Punjab,Layyah,2,0
2016,January,1,3,Punjab,Layyah,2,0
2016,January,1,4,Punjab,Layyah,1,0
2016,January,1,1,Punjab,Muzaffargarh,2,0
2016,January,1,2,Punjab,Muzaffargarh,3,0
2016,January,1,3,Punjab,Muzaffargarh,3,0
2016,January,1,4,Punjab,Muzaffargarh,2,0
2016,January,1,1,Punjab,Lodhran,1,0
2016,January,1,2,Punjab,Lodhran,2,0
2016,January,1,3,Punjab,Lodhran,2,0
2016,January,1,4,Punjab,Lodhran,1,0
2016,January,1,1,Punjab,Vehari,2,0
