year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2016,January,1,1,Punjab,Lahore,6,0,15.575714285714286,40.79857142857143,0.05,2.2885714285714287
2016,January,1,2,Punjab,Lahore,6,0,14.078571428571427,46.41571428571428,6.53,2.097142857142857
2016,January,1,3,Punjab,Lahore,6,0,12.247142857142858,31.330000000000002,0.0,1.967142857142857
2016,January,1,4,Punjab,Lahore,6,0,14.12142857142857,46.512857142857136,12.92,2.2842857142857143
2016,January,1,1,Punjab,Faisalabad,4,0,15.441428571428572,42.971428571428575,0.0,2.0757142857142856
2016,January,1,2,Punjab,Faisalabad,5,0,14.244285714285713,45.544285714285714,5.300000000000001,2.004285714285714
2016,January,1,3,Punjab,Faisalabad,5,0,12.817142857142857,28.728571428571428,0.0,1.6657142857142857
2016,January,1,4,Punjab,Faisalabad,4,0,14.29857142857143,44.41571428571428,4.7,2.1514285714285717
2016,January,1,1,Punjab,Rawalpindi,3,0,12.661428571428571,56.22142857142857,4.26,2.662857142857143
2016,January,1,2,Punjab,Rawalpindi,4,0,12.15,51.08857142857143,3.11,2.1685714285714286
2016,January,1,3,Punjab,Rawalpindi,4,0,10.847142857142858,40.644285714285715,0.0,2.4585714285714286
2016,January,1,4,Punjab,Rawalpindi,3,0,11.745714285714286,61.01,14.9,2.5628571428571427
2016,January,1,1,Punjab,Gujranwala,3,0,15.547142857142857,42.478571428571435,0.41,2.3557142857142854
2016,January,1,2,Punjab,Gujranwala,4,0,13.965714285714286,46.544285714285714,6.15,2.087142857142857
2016,January,1,3,Punjab,Gujranwala,4,0,12.022857142857143,33.23285714285714,0.0,2.11
2016,January,1,4,Punjab,Gujranwala,3,0,14.025714285714287,49.48571428571428,12.139999999999999,2.494285714285714
2016,January,1,1,Punjab,Multan,3,0,15.97857142857143,38.887142857142855,0.0,2.3314285714285714
2016,January,1,2,Punjab,Multan,4,0,15.415714285714285,45.97714285714285,1.45,2.447142857142857
2016,January,1,3,Punjab,Multan,3,0,13.90857142857143,24.594285714285714,0.0,1.8414285714285714
2016,January,1,4,Punjab,Multan,3,0,15.454285714285716,25.648571428571426,0.060000000000000005,2.2785714285714285
2016,January,1,1,Punjab,Sheikhupura,3,0,15.497142857142858,41.81857142857143,0.01,2.2514285714285713
2016,January,1,2,Punjab,Sheikhupura,3,0,14.20142857142857,45.472857142857144,6.039999999999999,2.072857142857143
2016,January,1,3,Punjab,Sheikhupura,3,0,12.541428571428572,29.99285714285714,0.0,1.8728571428571428
2016,January,1,4,Punjab,Sheikhupura,2,0,14.129999999999999,45.814285714285724,9.66,2.2585714285714285
2016,January,1,1,Punjab,Kasur,3,0,15.787142857142856,39.42285714285714,0.01,2.165714285714286
2016,January,1,2,Punjab,Kasur,3,0,14.22857142857143,45.07285714285714,4.93,2.052857142857143
2016,January,1,3,Punjab,Kasur,3,0,12.62142857142857,29.06,0.0,1.6742857142857142
2016,January,1,4,Punjab,Kasur,2,0,14.370000000000001,41.6,9.99,2.031428571428571
2016,January,1,1,Punjab,Sialkot,3,0,15.819999999999999,44.65428571428571,2.31,2.3657142857142857
2016,January,1,2,Punjab,Sialkot,3,0,14.394285714285713,44.75571428571429,4.21,1.9200000000000002
2016,January,1,3,Punjab,Sialkot,3,0,12.597142857142858,32.54142857142857,0.0,1.9857142857142858
2016,January,1,4,Punjab,Sialkot,2,0,14.544285714285715,49.542857142857144,10.27,2.3514285714285714
2016,January,1,1,Punjab,Sargodha,2,0,15.782857142857141,43.15428571428571,0.02,2.2714285714285714
2016,January,1,2,Punjab,Sargodha,3,0,14.491428571428571,44.67857142857143,5.84,2.12
2016,January,1,3,Punjab,Sargodha,3,0,13.072857142857144,28.562857142857144,0.0,1.9028571428571428
2016,January,1,4,Punjab,Sargodha,2,0,14.271428571428572,46.611428571428576,3.28,2.3085714285714287
2016,January,1,1,Punjab,Bahawalpur,2,0,16.228571428571428,37.68142857142857,0.0,2.358571428571428
2016,January,1,2,Punjab,Bahawalpur,3,0,15.601428571428572,43.45142857142857,0.59,2.1557142857142857
2016,January,1,3,Punjab,Bahawalpur,2,0,13.73857142857143,26.06857142857143,0.0,2.0942857142857143
2016,January,1,4,Punjab,Bahawalpur,2,0,15.455714285714285,25.635714285714283,0.0,2.2457142857142856
2016,January,1,1,Punjab,Jhang,2,0,15.545714285714284,43.050000000000004,0.0,1.9528571428571428
2016,January,1,2,Punjab,Jhang,3,0,14.381428571428572,46.208571428571425,4.94,2.0357142857142856
2016,January,1,3,Punjab,Jhang,3,0,13.025714285714287,28.071428571428573,0.0,1.6057142857142856
2016,January,1,4,Punjab,Jhang,2,0,14.35,42.70428571428572,3.16,1.9885714285714287
2016,January,1,1,Punjab,Gujrat,2,0,15.819999999999999,44.65428571428571,2.31,2.3657142857142857
2016,January,1,2,Punjab,Gujrat,2,0,14.394285714285713,44.75571428571429,4.21,1.9200000000000002
