year,month,month_num,epi_week,district,cases,deaths
2016,January,1,1,Lahore,6,0
2016,January,1,2,Lahore,6,0
2016,January,1,3,Lahore,6,0
2016,January,1,4,Lahore,6,0
2016,January,1,1,Faisalabad,4,0
2016,January,1,2,Faisalabad,5,0
2016,January,1,3,Faisalabad,5,0
2016,January,1,4,Faisalabad,4,0
2016,January,1,1,Rawalpindi,3,0
2016,January,1,2,Rawalpindi,4,0
2016,January,1,3,Rawalpindi,4,0
2016,January,1,4,Rawalpindi,3,0
2016,January,1,1,Gujranwala,3,0
2016,January,1,2,Gujranwala,4,0
2016,January,1,3,Gujranwala,4,0
2016,January,1,4,Gujranwala,3,0
2016,January,1,1,Multan,3,0
2016,January,1,2,Multan,3,0
2016,January,1,3,Multan,3,0
2016,January,1,4,Multan,3,0
2016,January,1,1,Sheikhupura,2,0
2016,January,1,2,Sheikhupura,4,0
2016,January,1,3,Sheikhupura,4,0
2016,January,1,4,Sheikhupura,2,0
2016,January,1,1,Kasur,3,0
2016,January,1,2,Kasur,3,0
2016,January,1,3,Kasur,3,0
2016,January,1,4,Kasur,2,0
2016,January,1,1,Sialkot,3,0
2016,January,1,2,Sialkot,3,0
2016,January,1,3,Sialkot,3,0
2016,January,1,4,Sialkot,2,0
2016,January,1,1,Sargodha,2,0
2016,January,1,2,Sargodha,3,0
2016,January,1,3,Sargodha,3,0
2016,January,1,4,Sargodha,2,0
2016,January,1,1,Bahawalpur,2,0
2016,January,1,2,Bahawalpur,3,0
2016,January,1,3,Bahawalpur,2,0
2016,January,1,4,Bahawalpur,2,0
2016,January,1,1,Jhang,2,0
2016,January,1,2,Jhang,3,0
2016,January,1,3,Jhang,3,0
2016,January,1,4,Jhang,2,0
2016,January,1,1,Gujrat,2,0
2016,January,1,2,Gujrat,3,0
2016,January,1,3,Gujrat,2,0
2016,January,1,4,Gujrat,2,0
2016,January,1,1,Rahim Yar Khan,3,0
2016,January,1,2,Rahim Yar Khan,3,0
2016,January,1,3,Rahim Yar Khan,3,0
2016,January,1,4,Rahim Yar Khan,2,0
2016,January,1,1,Sahiwal,2,0
2016,January,1,2,Sahiwal,2,0
2016,January,1,3,Sahiwal,2,0
2016,January,1,4,Sahiwal,1,0
2016,January,1,1,Okara,2,0
2016,January,1,2,Okara,2,0
2016,January,1,3,Okara,2,0
2016,January,1,4,Okara,2,0
2016,January,1,1,Narowal,2,0
2016,January,1,2,Narowal,2,0
2016,January,1,3,Narowal,2,0
2016,January,1,4,Narowal,1,0
2016,January,1,1,Hafizabad,2,0
2016,January,1,2,Hafizabad,2,0
2016,January,1,3,Hafizabad,2,0
2016,January,1,4,Hafizabad,1,0
2016,January,1,1,Mandi Bahauddin,1,0
2016,January,1,2,Mandi Bahauddin,2,0
2016,January,1,3,Mandi Bahauddin,2,0
2016,January,1,4,Mandi Bahauddin,1,0
2016,January,1,1,Pakpattan,1,0
2016,January,1,2,Pakpattan,2,0
2016,January,1,3,Pakpattan,2,0
2016,January,1,4,Pakpattan,1,0
2016,January,1,1,Chiniot,2,0
2016,January,1,2,Chiniot,2,0
2016,January,1,3,Chiniot,2,0
2016,January,1,4,Chiniot,1,0
2016,January,1,1,Khushab,1,0
2016,January,1,2,Khushab,2,0
2016,January,1,3,Khushab,1,0
2016,January,1,4,Khushab,1,0
2016,January,1,1,Bhakkar,1,0
2016,January,1,2,Bhakkar,2,0
2016,January,1,3,Bhakkar,1,0
2016,January,1,4,Bhakkar,1,0
2016,January,1,1,Layyah,1,0
2016,January,1,2,Layyah,2,0
2016,January,1,3,Layyah,2,0
2016,January,1,4,Layyah,1,0
2016,January,1,1,Muzaffargarh,2,0
2016,January,1,2,Muzaffargarh,3,0
2016,January,1,3,Muzaffargarh,3,0
2016,January,1,4,Muzaffargarh,2,0
2016,January,1,1,Lodhran,1,0
2016,January,1,2,Lodhran,2,0
2016,January,1,3,Lodhran,2,0
2016,January,1,4,Lodhran,1,0
2016,January,1,1,Vehari,2,0
2016,January,1,2,Vehari,2,0
2016,January,1,3,Vehari,2,0
2016,January,1,4,Vehari,2,0
2016,January,1,1,Khanewal,2,0
2016,January,1,2,Khanewal,2,0
2016,January,1,3,Khanewal,2,0
2016,January,1,4,Khanewal,2,0
2016,January,1,1,Toba Tek Singh,2,0
2016,January,1,2,Toba Tek Singh,2,0
2016,January,1,3,Toba Tek Singh,2,0
2016,January,1,4,Toba Tek Singh,2,0
2016,January,1,1,Nankana Sahib,2,0
2016,January,1,2,Nankana Sahib,2,0
2016,January,1,3,Nankana Sahib,2,0
2016,January,1,4,Nankana Sahib,1,0
2016,January,1,1,Attock,1,0
2016,January,1,2,Attock,2,0
2016,January,1,3,Attock,2,0
2016,January,1,4,Attock,1,0
2016,January,1,1,Chakwal,1,0
2016,January,1,2,Chakwal,2,0
2016,January,1,3,Chakwal,1,0
2016,January,1,4,Chakwal,1,0
2016,January,1,1,Jhelum,1,0
2016,January,1,2,Jhelum,2,0
2016,January,1,3,Jhelum,2,0
2016,January,1,4,Jhelum,1,0
2016,January,1,1,Mianwali,1,0
2016,January,1,2,Mianwali,2,0
2016,January,1,3,Mianwali,1,0
2016,January,1,4,Mianwali,1,0
2016,January,1,1,D.G. Khan,2,0
2016,January,1,2,D.G. Khan,2,0
2016,January,1,3,D.G. Khan,2,0
2016,January,1,4,D.G. Khan,2,0
2016,January,1,1,Rajanpur,2,0
2016,January,1,2,Rajanpur,2,0
2016,January,1,3,Rajanpur,2,0
2016,January,1,4,Rajanpur,1,0
2016,January,1,1,Bahawalnagar,2,0
2016,January,1,2,Bahawalnagar,2,0
2016,January,1,3,Bahawalnagar,2,0
2016,January,1,4,Bahawalnagar,1,0
2016,February,2,5,Lahore,5,0
2016,February,2,6,Lahore,6,0
2016,February,2,7,Lahore,6,0
